atc-code,drugbank-id
N06AX07,APRD00735
C04AD03,APRD00121
S01HA04,APRD00522
G01AE10,APRD01031
S01FA56,APRD00287
N04AA02,APRD00725
J05AB04,DB01693
M02AA01,DB08343
N02AB03,DB05564
M01AC06,APRD00529
,APRD01606
R03CB03,APRD00210
J01MB01,APRD00369
N01AX10,DB05893
S01EC01,EXPT00604
G04BE08,APRD00071
,APRD00849
N07BB01,APRD00767
,APRD00760
,APRD00273
,APRD01604
A01AB10,APRD01136
J01MB06,APRD00873
J01XX01,APRD00987
N05BA01,DB07699
,APRD00262
N05AB06,DB08616
N03AD02,APRD00496
J01DC04,APRD00243
G03XB51,APRD00432
R06AB01,APRD00832
A07DA05,APRD00275
N03AG05,APRD00072
D07AB21,APRD00877
A10BB05,APRD01267
,APRD01023
C01CA07,APRD00122
N05BA04,APRD01152
N06DA52,APRD00039
N02AF02,APRD01132
J04BA01,APRD00278
D07CC03,APRD00982
A16AA04,APRD00896
P02CE01,APRD01067
N05CB01,APRD00047
N05AB03,APRD00429
L01AX04,APRD00331
R01BA52,APRD00634
L01AX03,APRD00557
,APRD00764
L01XD04,DB05277
D01AE07,APRD00867
D01AE15,APRD00508
,APRD00938
M01CC01,APRD01171
S01BB02,APRD00197
N02BA11,DB06895
G04BE09,APRD00699
A02BA02,APRD00254
L04AD02,EXPT01437
,APRD00759
C07AA01,APRD00736
G02CA01,APRD00541
R05DB01,APRD00629
S01EC03,DB04507
M01AE07,APRD00230
R03CC03,APRD00589
C03XA02,APRD01302
S01BA14,APRD01078
R05CA03,APRD01005
N05AF01,APRD00388
C09DA02,APRD00950
L04AA10,DB02439
A01AB03,APRD00545
J05AF09,APRD00226
G01AE10,APRD00721
C09BA06,APRD00523
G03GB02,APRD00880
C01DA08,APRD00455
M05BB07,DB02782
,APRD00394
,APRD00443
G01AE10,APRD00294
L01AA05,APRD00249
A04AA02,APRD01002
G03CC02,APRD00917
G01AE10,APRD00491
D04AB03,APRD00817
,APRD01053
,APRD00640
J01CR50,APRD00822
S01BA13,APRD01220
N05CD05,APRD00313
V03AZ01,APRD00738
N01AH06,APRD01216
J05AF02,DB02392
R03AC17,APRD00827
R06AD04,APRD00713
C03CC01,APRD00251
A04AA01,APRD00481
S01EE03,DB06863
