drugbank-id,name
APRD01009,withdrawn
APRD00726,illicit
APRD00886,approved
APRD00113,approved
APRD00735,approved
APRD00121,investigational
APRD00522,vet_approved
APRD01031,approved
APRD00287,investigational
APRD00725,investigational
DB01693,approved
DB08343,vet_approved
DB05564,vet_approved
APRD00529,vet_approved
APRD01606,approved
APRD00210,approved
APRD00369,investigational
DB05893,vet_approved
EXPT00604,vet_approved
APRD00071,investigational
APRD00849,withdrawn
APRD00767,approved
APRD00760,approved
APRD00273,investigational
APRD01604,approved
APRD01136,approved
APRD00873,withdrawn
APRD00987,approved
DB07699,vet_approved
APRD00262,illicit
DB08616,investigational
APRD00496,approved
APRD00243,approved
APRD00432,investigational
APRD00832,approved
APRD00275,approved
APRD00072,investigational
APRD00877,approved
APRD01267,investigational
APRD01023,approved
APRD00122,approved
APRD01152,approved
APRD00039,approved
APRD01132,approved
APRD00278,investigational
APRD00982,approved
APRD00896,investigational
APRD01067,withdrawn
APRD00047,approved
APRD00429,approved
APRD00331,investigational
APRD00634,approved
APRD00557,investigational
APRD00764,approved
DB05277,approved
APRD00867,withdrawn
APRD00508,vet_approved
APRD00938,illicit
APRD01171,approved
APRD00197,vet_approved
DB06895,investigational
APRD00699,approved
APRD00254,approved
EXPT01437,investigational
APRD00759,illicit
APRD00736,withdrawn
APRD00541,investigational
APRD00629,approved
DB04507,approved
APRD00230,withdrawn
APRD00589,approved
APRD01302,investigational
APRD01078,approved
APRD01005,vet_approved
APRD00388,withdrawn
APRD00950,approved
DB02439,investigational
APRD00545,vet_approved
APRD00226,investigational
APRD00721,vet_approved
APRD00523,investigational
APRD00880,investigational
APRD00455,investigational
DB02782,investigational
APRD00394,investigational
APRD00443,investigational
APRD00294,approved
APRD00249,investigational
APRD01002,investigational
APRD00917,investigational
APRD00491,approved
APRD00817,investigational
APRD01053,vet_approved
APRD00640,investigational
APRD00822,approved
APRD01220,approved
APRD00313,investigational
APRD00738,approved
APRD01216,approved
DB02392,approved
APRD00827,withdrawn
APRD00713,approved
APRD00251,investigational
APRD00481,approved
DB06863,investigational
APRD00344,investigational
APRD00080,illicit
APRD00136,investigational
APRD00004,investigational
APRD01165,investigational
APRD01260,investigational
APRD00439,investigational
APRD00741,illicit
APRD00511,withdrawn
APRD00787,approved
APRD00631,approved
APRD00927,approved
APRD00169,investigational
APRD01232,vet_approved
APRD01061,approved
APRD00670,vet_approved
APRD01296,investigational
APRD00853,approved
APRD00213,approved
APRD00651,approved
APRD00966,withdrawn
APRD00296,approved
APRD00809,investigational
DB05379,approved
APRD00883,approved
APRD00137,investigational
APRD01306,investigational
APRD00610,investigational
APRD00747,investigational
APRD01158,investigational
DB01398,vet_approved
APRD00919,illicit
APRD00277,approved
APRD01090,vet_approved
APRD00751,investigational
APRD01013,approved
APRD00731,approved
APRD00562,investigational
APRD00905,approved
EXPT00475,vet_approved
APRD00228,investigational
APRD00654,investigational
APRD01113,investigational
APRD00505,approved
APRD00349,investigational
EXPT01940,investigational
APRD00220,investigational
APRD00008,approved
APRD00931,investigational
APRD00232,investigational
DB09475,illicit
APRD00569,investigational
APRD00466,approved
APRD00342,vet_approved
APRD00678,investigational
APRD01094,vet_approved
APRD00411,investigational
APRD00831,approved
APRD00012,approved
APRD00960,investigational
APRD01247,investigational
APRD00324,investigational
APRD01106,approved
APRD00580,withdrawn
APRD00124,investigational
APRD01323,approved
APRD00813,approved
APRD00619,approved
APRD01327,vet_approved
APRD00360,approved
APRD00483,approved
APRD00691,approved
APRD01076,investigational
APRD00893,approved
APRD01213,investigational
APRD00406,investigational
APRD00140,approved
APRD00641,investigational
APRD00134,investigational
APRD00924,approved
DB06583,vet_approved
APRD00499,investigational
APRD00085,approved
APRD00321,investigational
APRD00144,investigational
APRD00030,approved
APRD01105,investigational
APRD00811,approved
APRD00013,vet_approved
APRD00808,investigational
APRD00015,investigational
DB05847,investigational
APRD00270,investigational
APRD00092,vet_approved
APRD00892,approved
APRD00553,vet_approved
APRD00110,investigational
APRD00336,approved
EXPT01540,investigational
APRD00023,approved
APRD01066,investigational
APRD01262,approved
APRD00664,investigational
DB05335,vet_approved
APRD00944,approved
EXPT02271,investigational
APRD00872,approved
APRD00876,approved
APRD00141,investigational
APRD00076,approved
APRD00233,approved
APRD00547,investigational
APRD00075,investigational
APRD00051,approved
APRD00528,approved
APRD00031,vet_approved
DB09528,investigational
APRD00374,investigational
EXPT02208,approved
APRD00795,investigational
APRD00401,investigational
APRD00744,vet_approved
APRD00413,investigational
APRD00687,investigational
APRD00959,withdrawn
APRD00167,investigational
APRD01096,approved
APRD00703,approved
APRD00509,approved
APRD00146,investigational
APRD00525,vet_approved
APRD00848,withdrawn
DB09545,approved
APRD01024,approved
APRD01251,withdrawn
APRD00118,approved
APRD00221,investigational
APRD00996,investigational
EXPT02777,approved
APRD01298,investigational
APRD00978,investigational
APRD00216,investigational
DB01287,approved
APRD00372,approved
APRD00694,vet_approved
DB11612,vet_approved
APRD00421,investigational
APRD00647,approved
APRD01266,approved
APRD00942,approved
EXPT02728,vet_approved
APRD00469,approved
APRD00248,vet_approved
APRD00814,approved
APRD00427,investigational
APRD00462,approved
APRD00182,investigational
DB08189,vet_approved
APRD00850,investigational
APRD00436,investigational
APRD00054,illicit
APRD00601,investigational
APRD00143,approved
APRD00386,approved
APRD00804,investigational
APRD00594,approved
APRD00107,investigational
DB06975,investigational
APRD00055,approved
APRD00964,approved
APRD00909,approved
APRD00096,withdrawn
APRD00282,approved
APRD00366,illicit
APRD00412,vet_approved
APRD00255,investigational
APRD00946,approved
APRD00382,investigational
APRD00539,investigational
APRD00604,approved
APRD01027,investigational
APRD00906,approved
APRD00038,approved
APRD00833,approved
APRD00135,approved
EXPT01231,vet_approved
APRD00117,approved
APRD00346,approved
APRD01150,approved
APRD00205,investigational
APRD00546,approved
APRD00299,investigational
APRD00218,approved
APRD00203,investigational
APRD00802,approved
APRD00317,investigational
DB08567,approved
APRD00456,withdrawn
APRD01069,investigational
